player_name,team,strike_rate,average ,economy ,bowling_strike_rate,role
K L Rahul,delhi_capitals,135.91,45.42,0,0,batsman
Pathum Nissanka,delhi_capitals,128.58,22.5,0,0,batsman
Nitish Rana,delhi_capitals,136.19,27.31,0,0,batsman
Axar Patel,delhi_capitals,133.9,21.77,7.33,25.74,all_rounder
Sameer Rizvi,delhi_capitals,150.91,41.5,0,0,batsman
Tristan Stubbs,delhi_capitals,159.62,43.94,0,0,batsman
David Miller,delhi_capitals,138.43,36.02,0,0,batsman
Lungi Ngidi,delhi_capitals,0,0,8.47,12.67,bowler
Kuldeep Yadav,delhi_capitals,86.64,13.4,8.05,20.13,bowler
Vipraj Nigam,delhi_capitals,179.75,20.29,9.02,21.5,all_rounder
Mukesh Kumar,delhi_capitals,55.56,10,10.22,17.68,bowler
Rohit Sharma,mumbai_indians,132.63,29.95,0,0,batsman
Ryan Rickelton,mumbai_indians,153.7,31.87,0,0,batsman
Tilak Varma,mumbai_indians,144.12,36.17,0,0,batsman
Suryakumar Yadav,mumbai_indians,148.71,35.02,0,0,batsman
Naman Dhir,mumbai_indians,177.09,28.33,0,0,batsman
Sherfane Rutherford,mumbai_indians,135.82,23.66,0,0,batsman
Mitchell Santner,mumbai_indians,109.41,16,7.31,23.88,all_rounder
Corbin Bosch,mumbai_indians,161.12,29,9.25,30.5,all_rounder
Shardul Thakur,mumbai_indians,139.49,11.61,9.44,19.2,all_rounder
Deepak Chahar,mumbai_indians,139.29,14.63,8.12,21.72,all_rounder
Jasprit Bumrah,mumbai_indians,86.08,9.71,7.25,18.5,bowler
